,Unnamed: 0,ep_num,air_date,round_name,coord,category,value,daily_double,question,answer,correct_attempts,wrong_attempts,value_tuple,value_num,difficulty,topic_cluster,topic_name,human_score
0,49222,7555,2017-06-16,Double Jeopardy,"(1, 1)",YOU'RE FIRED FROM THE MOVIE!,"(400,)",False,"Spoiler alert! In ""Return of the Jedi"", Luke sets this man ablaze in a funeral pyre",Darth Vader,1.0,1.0,"(400,)",400.0,easy,13,Trivia & Famous People,0
1,47825,7532,2017-05-16,Jeopardy,"(5, 2)",INFRASTRUCTURE,"(400,)",False,"The FAA lists airports as small, medium or large within this 3-letter designation that means you change planes there",hub,0.0,3.0,"(400,)",400.0,easy,5,"Mythology, Literature & Wordplay",0
2,10333,2742,1996-07-02,Jeopardy,"(3, 3)",STARS ON CD-ROM,"(300,)",False,Wing Commander III features this Luke Skywalker actor as the wing commander,Mark Hamill,1.0,0.0,"(300,)",300.0,easy,12,History & World Leaders,1
3,20355,2938,1997-05-14,Jeopardy,"(5, 2)",OUT OF THE MICROWAVE,"(200,)",False,Betty Crocker sells this snack food under the name Pop Secret,Microwave popcorn,1.0,0.0,"(200,)",200.0,easy,12,History & World Leaders,1
4,6457,2606,1995-12-25,Jeopardy,"(2, 1)",ETIQUETTE,"(100,)",False,"We're told this ""doesn't grow on trees"", but it may be tied to an artificial tree at an anniversary party",money,1.0,0.0,"(100,)",100.0,easy,12,History & World Leaders,1
5,7921,2650,1996-02-23,Jeopardy,"(1, 4)",THE CIVIL WAR,"(400,)",False,Belle Boyd worked as a spy for Stonewall Jackson during his 1862 campaign in this Virginia valley,Shenandoah,1.0,0.0,"(400,)",400.0,easy,17,Religion,1
6,21331,2954,1997-06-05,Jeopardy,"(2, 3)",AMERICAN FOOD,"(300,)",False,This sandwich named for its meat & dairy filling is a Philadelphia treat,Philly Cheesesteak,1.0,0.0,"(300,)",300.0,easy,7,American Pop Culture,1
7,11937,2784,1996-10-10,Double Jeopardy,"(2, 2)",WORLD HISTORY,"(400,)",False,"In 1918 this country was formed from Bohemia, Moravia & Slovakia",Czechoslovakia,1.0,1.0,"(400,)",400.0,easy,17,Religion,0
8,14899,2844,1997-01-02,Jeopardy,"(2, 2)",SWEETS,"(200,)",False,"Chocolate-covered boysenberry squares are a specialty of this theme park in Buena Park, CA",Knott\'s Berry Farm,1.0,0.0,"(200,)",200.0,easy,7,American Pop Culture,1
9,30593,4255,2003-02-14,Double Jeopardy,"(1, 1)",NUCLEAR PHYSICS,"(400,)",False,More than 99.9% of an atom's mass is contained within this,nucleus,1.0,0.0,"(400,)",400.0,easy,5,"Mythology, Literature & Wordplay",1
10,49316,7557,2017-06-20,Jeopardy,"(1, 2)",WE'RE GIVING YOU A COMMISSION,"(400,)",False,"The Financial Crisis Inquiry Commission scolded the Federal Reserve's pivotal ""failure to stem the flow of toxic"" these",mortgages,1.0,0.0,"(400,)",400.0,easy,12,History & World Leaders,1
11,23505,4138,2002-09-04,Jeopardy,"(2, 1)",PRE-CIVIL WAR AMERICA,"(200,)",False,"In the 1790s, Robert Carter, like Thomas Jefferson a planter in this state, freed hundreds of his own slaves",Virginia,1.0,0.0,"(200,)",200.0,easy,17,Religion,1
12,54527,7643,2017-11-29,Jeopardy,"(1, 2)",I GET A KICK OUT OF HISTORY,"(400,)",False,A memorial unveiled in 2014 honors the spontaneous soccer games of this war's Christmas truce,World War I,1.0,0.0,"(400,)",400.0,easy,17,Religion,1
13,53601,7627,2017-11-07,Double Jeopardy,"(6, 1)",OVERLAPS,"(400,)",False,Hamburger condiment for re-covering chairs & couches,ketchupholstery,1.0,0.0,"(400,)",400.0,easy,5,"Mythology, Literature & Wordplay",1
14,18760,2910,1997-04-04,Jeopardy,"(4, 3)",COMPANY TOWNS,"(300,)",False,"This company has processed poultry in Springdale, Arkansas since 1958",Tyson Foods,0.0,3.0,"(300,)",300.0,easy,3,Food & Cuisine,0
15,10884,2759,1996-09-05,Jeopardy,"(3, 2)",CINEMATIC SIBLINGS,"(200,)",False,Emma Thompson & Kate Winslet earned Oscar nominations for playing the Dashwood sisters in this 1995 film,Sense and Sensibility,1.0,1.0,"(200,)",200.0,easy,13,Trivia & Famous People,0
16,28555,4221,2002-12-30,Jeopardy,"(1, 2)",THE SMALLEST IN AREA,"(400,)",False,"Brazil,Bolivia,Guyana",Guyana,1.0,0.0,"(400,)",400.0,easy,1,"Dates, Time & Numbers",1
17,20779,2945,1997-05-23,Jeopardy,"(2, 2)",RECENT MOVIES,"(200,)",False,Tom Cruise played this sports agent whose only remaining client was football player Rod Tidwell,Jerry Maguire,1.0,0.0,"(200,)",200.0,easy,13,Trivia & Famous People,1
18,6774,2616,1996-01-08,Jeopardy,"(4, 3)",THE INSECT WORLD,"(300,)",False,The Aedes Aegypti type of this insect spreads yellow fever & dengue fever,mosquito,1.0,0.0,"(300,)",300.0,easy,9,Inventions & Notable Names,1
19,8824,2686,1996-04-15,Jeopardy,"(5, 2)",THE PIANO,"(200,)",False,In 1768 his son Johann Christian gave London's first public solo piano recital,J.S. Bach,1.0,0.0,"(200,)",200.0,easy,18,Animals & Natural World,1
20,33556,4307,2003-04-29,Double Jeopardy,"(1, 1)",INDEPENDENCE DAY,"(400,)",False,This country celebrates Cinco de Mayo on May 5 & its independence on September 16,Mexico,1.0,0.0,"(400,)",400.0,easy,17,Religion,1
21,20375,2938,1997-05-14,Double Jeopardy,"(1, 1)",CLINTON'S FIRST TERM,"(200,)",False,This VP headed a bureaucracy-trimming effort called the National Performance Review,Al Gore,1.0,0.0,"(200,)",200.0,easy,17,Religion,1
22,32406,4288,2003-04-02,Jeopardy,"(5, 1)",A MAN CALLED HARRIS,"(200,)",False,Young fans know Richard Harris best for his role as headmaster Dumbledore in this film series,Harry Potter,1.0,0.0,"(200,)",200.0,easy,2,"Politics, Government & Industry",1
23,1057,59,1984-11-29,Jeopardy,"(1, 2)",SCIENCE,"(200,)",False,"He originated ""The Origin of Species""",Charles Darwin,1.0,0.0,"(200,)",200.0,easy,5,"Mythology, Literature & Wordplay",1
24,57344,7690,2018-02-02,Jeopardy,"(4, 2)",STRINGING YOU ALONG,"(400,)",False,"Since 1913 a theatre in Salzburg has presented opera & ballet performed by these, not humans",marionette puppets,1.0,0.0,"(400,)",400.0,easy,8,Word Games,1
25,49580,7561,2017-06-26,Double Jeopardy,"(2, 1)","RADIO, RADIO","(400,)",False,Mariners used to rely on radio beacons in these towers but now satellite positioning is used instead,lighthouses,1.0,0.0,"(400,)",400.0,easy,5,"Mythology, Literature & Wordplay",1
26,35573,4341,2003-06-16,Jeopardy,"(1, 2)",1960s AMERICA,"(400,)",False,"For hippies, it was Manhattan's equivalent of San Francisco's Haight-Ashbury district",Greenwich Village,1.0,1.0,"(400,)",400.0,easy,17,Religion,0
27,15876,2861,1997-01-27,Double Jeopardy,"(1, 1)",WEST VIRGINIANS,"(200,)",False,Arthur I. Boreman was the first to hold this office after West Virginia's admission to the Union,governor,1.0,0.0,"(200,)",200.0,easy,4,"Nature, Geography & Earth Science",1
28,51953,7600,2017-09-29,Jeopardy,"(1, 2)",SCIENCE FICTION,"(400,)",False,"This British author famous for space travel speculation also wrote ""Deep Range"", in which man has conquered the sea",(Arthur) Clarke,1.0,0.0,"(400,)",400.0,easy,6,Performing Arts,1
29,19667,2926,1997-04-28,Jeopardy,"(6, 2)","""M.D.""s","(200,)",False,"Named for its surveyors, this ""line"" was once considered the boundary between slave & free states",Mason-Dixon Line,1.0,0.0,"(200,)",200.0,easy,19,20th Century History & Pop Culture,1
30,23896,4144,2002-09-12,Double Jeopardy,"(2, 1)",MYSTERY!,"(400,)",False,"Jeremy Brett played this consulting detective in programs like ""The Boscombe Valley Mystery""",Sherlock Holmes,1.0,0.0,"(400,)",400.0,easy,5,"Mythology, Literature & Wordplay",1
31,8043,2670,1996-03-22,Jeopardy,"(1, 4)",U.S.A.,"(400,)",False,Every other year the people of Monroe in this state celebrate Cheese Days,Wisconsin,1.0,0.0,"(400,)",400.0,easy,4,"Nature, Geography & Earth Science",1
32,55301,7656,2017-12-18,Jeopardy,"(2, 2)",SPORT'S STUFF,"(400,)",False,"Chest protector, stirrups, mask",baseball,1.0,0.0,"(400,)",400.0,easy,15,Literature & Language,1
33,10880,2759,1996-09-05,Jeopardy,"(5, 1)",BASKETBALL,"(100,)",False,"Chet the Jet was Chet Walker, Bill the Hill was Bill McGill & Wilt the Stilt was this man",Wilt Chamberlain,1.0,0.0,"(100,)",100.0,easy,15,Literature & Language,1
34,58803,7715,2018-03-09,Double Jeopardy,"(4, 1)",FOREIGN PHRASES,"(400,)",False,"If you're pampered in Perugia, you're living this, Italian for ""the sweet life""",la dolce vita,1.0,0.0,"(400,)",400.0,easy,8,Word Games,1
35,42316,7439,2017-01-05,Jeopardy,"(4, 2)",A FILM CLASSIC,"(400,)",False,1996:You betcha Marge gets her man,Fargo,1.0,0.0,"(400,)",400.0,easy,13,Trivia & Famous People,1
36,4861,2528,1995-09-06,Jeopardy,"(3, 1)",HAIRSTYLES,"(100,)",False,Girls of the late '60s pressed their hair with a warm one of these to remove all waviness,iron,1.0,0.0,"(100,)",100.0,easy,5,"Mythology, Literature & Wordplay",1
37,61121,7754,2018-05-03,Double Jeopardy,"(6, 1)","PUT A ""LID"" ON IT","(400,)",False,"On the end of a state postal abbreviation to get this synonym for ""true""",valid,1.0,0.0,"(400,)",400.0,easy,12,History & World Leaders,1
38,32886,4296,2003-04-14,Jeopardy,"(4, 1)",WHAT COULD SHE BE DOING IN THERE?,"(200,)",False,"Giving herself a wavy look with a home one of these--if it doesn't work, she may not come out for days",a permanent,1.0,0.0,"(200,)",200.0,easy,5,"Mythology, Literature & Wordplay",1
39,19475,2923,1997-04-23,Jeopardy,"(1, 1)",18th CENTURY EUROPE,"(100,)",False,"On Nov. 1, 1755 an earthquake devastated this Portuguese capital, killing tens of thousands",Lisbon,1.0,0.0,"(100,)",100.0,easy,10,Science & Academia,1
40,16486,2870,1997-02-07,Double Jeopardy,"(1, 1)",ASTRONOMY & SPACE,"(200,)",False,"From Earth, this planet's 100,000 or so ringlets appear as just 3 broad rings",Saturn,1.0,0.0,"(200,)",200.0,easy,5,"Mythology, Literature & Wordplay",1
41,14306,2834,1996-12-19,Jeopardy,"(6, 2)",THIS 'N' THAT,"(200,)",False,This reddish spice can be sold in both ground & stick form,Cinnamon,1.0,0.0,"(200,)",200.0,easy,8,Word Games,1
42,2446,295,1985-10-25,Jeopardy,"(2, 4)",MOVIES,"(400,)",False,Author Ken Kesey said it would have been better with Kirk Douglas in Jack Nicholson's part,One Flew over the Cuckoo\'s Nest,1.0,0.0,"(400,)",400.0,easy,13,Trivia & Famous People,1
43,21025,2949,1997-05-29,Jeopardy,"(5, 2)",ODDS & ENDS,"(200,)",False,"On March 6, 1996 Detroit Red Wings goalie Chris Osgood did this, the first for an NHL goalie since 1989",Score a goal,1.0,0.0,"(200,)",200.0,easy,12,History & World Leaders,1
44,57597,7694,2018-02-08,Double Jeopardy,"(2, 1)",LITERARY AWARDS,"(400,)",False,"Not surprisingly, Selma Lagerlof of this country was the first woman to win the Nobel Prize for Literature",Sweden,1.0,0.0,"(400,)",400.0,easy,16,"Sports, Royalty & Western History",1
45,14929,2844,1997-01-02,Double Jeopardy,"(3, 2)",NOTABLE NAMES,"(400,)",False,"This ""divine"" actress of the French stage & screen was known to travel with & sleep in a coffin",Sarah Bernhardt,1.0,0.0,"(400,)",400.0,easy,2,"Politics, Government & Industry",1
46,4951,2529,1995-09-07,Double Jeopardy,"(2, 1)",MONTANA,"(200,)",False,Montana boasts the nation's largest deposit of the subbituminous kind of this,coal,1.0,0.0,"(200,)",200.0,easy,4,"Nature, Geography & Earth Science",1
47,28608,4222,2002-12-31,Jeopardy,"(2, 1)",GAME SHOW FORMATS,"(200,)",False,"To start each round, 4 people from the audience each try to guess the correct cost of a featured prize",The Price is Right,1.0,0.0,"(200,)",200.0,easy,0,Movies & Film,1
48,22610,2974,1997-07-03,Jeopardy,"(1, 4)",1971,"(400,)",False,He was the only officer found guilty at the court martial of those involved in the My Lai incident,"William Calley, Jr.",1.0,0.0,"(400,)",400.0,easy,17,Religion,1
49,1596,80,1984-12-28,Jeopardy,"(4, 2)","THE ""IN"" CROWD","(200,)",False,A beetle bomb,insecticide,1.0,0.0,"(200,)",200.0,easy,8,Word Games,1
50,5173,2543,1995-09-27,Jeopardy,"(6, 2)",FOREIGN WORDS & PHRASES,"(200,)",False,"When shopping in Lisbon, you may want to ask, ""Quanto custa?"", which means this","""How much does it cost?""",1.0,0.0,"(200,)",200.0,easy,14,World Regions & Capitals,1
51,31718,4274,2003-03-13,Double Jeopardy,"(4, 1)",BRITS ALIVE!,"(400,)",False,He's now 20 years old & second in line,Prince William,1.0,1.0,"(400,)",400.0,easy,10,Science & Academia,0
52,38434,7375,2016-10-07,Jeopardy,"(5, 2)",JEN-DER,"(400,)",False,"She won an Oscar for playing Effie White in ""Dreamgirls""",(Jennifer) Hudson,1.0,0.0,"(400,)",400.0,easy,2,"Politics, Government & Industry",1
